# Temp = -10	1.0e+14	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e+14	9.08e+08	2.46e+07	0.0271
1.58e+14	9.13e+08	2.35e+07	0.0258
2.51e+14	9.18e+08	2.41e+07	0.0263
3.98e+14	9.22e+08	2.36e+07	0.0256
6.31e+14	9.27e+08	2.38e+07	0.0257
1.00e+15	9.32e+08	2.37e+07	0.0255
1.58e+15	9.37e+08	2.37e+07	0.0253
2.51e+15	9.41e+08	2.37e+07	0.0252
3.98e+15	9.46e+08	2.42e+07	0.0256
6.31e+15	9.51e+08	2.45e+07	0.0258
1.00e+16	9.56e+08	2.49e+07	0.026


# Temp = -5	3.2e+13	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

3.20e+13	8.86e+08	2.53e+07	0.0286
5.06e+13	8.91e+08	2.46e+07	0.0276
8.03e+13	8.96e+08	2.45e+07	0.0273
1.27e+14	9.01e+08	2.42e+07	0.0268
2.02e+14	9.06e+08	2.41e+07	0.0266
3.20e+14	9.11e+08	2.39e+07	0.0263
5.06e+14	9.16e+08	2.38e+07	0.026
8.03e+14	9.20e+08	2.40e+07	0.026
1.27e+15	9.25e+08	2.41e+07	0.026
2.02e+15	9.30e+08	2.41e+07	0.0259
3.20e+15	9.35e+08	2.42e+07	0.0259


# Temp = 0	1.0e+13	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e+13	8.60e+08	2.83e+07	0.0329
1.58e+13	8.66e+08	2.64e+07	0.0305
2.51e+13	8.72e+08	2.62e+07	0.03
3.98e+13	8.77e+08	2.57e+07	0.0293
6.31e+13	8.82e+08	2.53e+07	0.0287
1.00e+14	8.87e+08	2.50e+07	0.0282
1.58e+14	8.92e+08	2.48e+07	0.0278
2.51e+14	8.97e+08	2.47e+07	0.0276
3.98e+14	9.02e+08	2.47e+07	0.0274
6.31e+14	9.07e+08	2.47e+07	0.0273
1.00e+15	9.13e+08	2.46e+07	0.027


# Temp = 5	3.2e+12	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

3.20e+12	8.24e+08	3.43e+07	0.0416
5.06e+12	8.32e+08	3.19e+07	0.0383
8.03e+12	8.38e+08	3.07e+07	0.0366
1.27e+13	8.44e+08	2.93e+07	0.0347
2.02e+13	8.51e+08	2.86e+07	0.0336
3.20e+13	8.57e+08	2.80e+07	0.0326
5.06e+13	8.62e+08	2.74e+07	0.0318
8.03e+13	8.67e+08	2.70e+07	0.0311
1.27e+14	8.73e+08	2.66e+07	0.0305
2.02e+14	8.79e+08	2.63e+07	0.0299
3.20e+14	8.85e+08	2.60e+07	0.0294


# Temp = 10	1.0e+12	1.0
# äpé¸îgêî	íôë†íeê´ó¶	ëπé∏íeê´ó¶	ëπé∏ê≥ê⁄	

1.00e+12	7.59e+08	5.09e+07	0.0671
1.58e+12	7.71e+08	4.69e+07	0.0608
2.51e+12	7.82e+08	4.35e+07	0.0557
3.98e+12	7.92e+08	4.04e+07	0.051
6.31e+12	8.01e+08	3.79e+07	0.0473
1.00e+13	8.09e+08	3.58e+07	0.0443
1.58e+13	8.17e+08	3.44e+07	0.0421
2.51e+13	8.24e+08	3.30e+07	0.04
