# Temp, aT, bT

433.15, 1.65713630670907e-06, 1.0 
423.15, 2.1695116389842707e-06, 1.0 
413.15, 2.8986195199857124e-06, 1.0 
403.15, 3.9617183575959894e-06, 1.0 
393.15, 5.554514886144411e-06, 1.0 
383.15, 8.014771280880968e-06, 1.0 
373.15, 1.1947631304738599e-05, 1.0 
363.15, 1.848377235780599e-05, 1.0 
353.15, 2.9838332915698103e-05, 1.0 
343.15, 5.059106121296513e-05, 1.0 
333.15, 9.081175043953833e-05, 1.0 
328.15, 0.00012466758273248698, 1.0 
323.15, 0.00017426967042854458, 1.0 
318.15, 0.0002484502823100336, 1.0 
313.15, 0.00036189543614666153, 1.0 
308.15, 0.0005396673348504676, 1.0 
303.15, 0.0008257615497383826, 1.0 
298.15, 0.0012998286760555905, 1.0 
293.15, 0.0021110178469201943, 1.0 
288.15, 0.003549154181019679, 1.0 
283.15, 0.006200872907625822, 1.0 
278.15, 0.011308367744523175, 1.0 
273.15, 0.021637035751962887, 1.0 
268.15, 0.04369678030757076, 1.0 
263.15, 0.09380158149774266, 1.0 
433.15, 5.059106121296513e-05, 1.0 
423.15, 9.081175043953833e-05, 1.0 
413.15, 0.00017426967042854458, 1.0 
403.15, 0.00036189543614666153, 1.0 
393.15, 0.0008257615497383826, 1.0 
383.15, 0.0021110178469201943, 1.0 
373.15, 0.006200872907625822, 1.0 
363.15, 0.021637035751962887, 1.0 
353.15, 0.09380158149774266, 1.0 
343.15, 0.5375082866341565, 1.0 
333.15, 4.44553803176728, 1.0 
328.15, 15.241520206565486, 1.0 
323.15, 60.391351727097664, 1.0 
318.15, 284.1349394836531, 1.0 
313.15, 1642.7401139492463, 1.0 
308.15, 12196.739926374896, 1.0 
303.15, 123185.6857795441, 1.0 
298.15, 1827449.5088094797, 1.0 
293.15, 44209157.57860941, 1.0 
288.15, 2018760254.679076, 1.0 
283.15, 214894803469.28854, 1.0 
278.15, 73157529085359.73, 1.0 
273.15, 1.3081060634557042e+17, 1.0 
268.15, 2.8038914352091963e+21, 1.0 
263.15, 3.1695239353180195e+27, 1.0 
